path,bytes,sha256,source_url,snapshot_date,role
QUEUE.md,7567,123b116a13447d18e27aa07a5e4dc664fd645dd369ddf8db5e366b38a478bedf,,,handoff
README.md,1685,3e8d366dd78c1cc88dabd25d5c433e3ec3d2bc07a9afeac3bac0a3c1026ea909,,,handoff
VALIDATION.md,362,2c997054a70d6e1fd9c28c35ce7d0dbb49d69d54c8da6bc7caf2b3887ba10002,,,handoff
acquire.py,2988,624acfb685bddf3d8f12a1bf7a2d26e966daebfc98d13fac40ead82545624fbc,,,handoff
bass-revision.json,248,1dc19f26d64e67de6b204647648ae57b164a9446a8f72f00d0d15d29d43f3c4a,,,handoff
bass_overlap.csv,131101,b58b111eb548cc9dbc0fb641f8ce7f5e6870673e8038210171ffaafcd9523218,,,handoff
build.py,28017,a3e2a2253408d8c94a9b07ff7d74b881a75bd7db0b6ed32fd6dd176430c047d7,,,handoff
edges_claims.csv,18339,004319cd01ce3f25f8ea90887c1b61f67baa32b03aec03b3b8753e4fc0211637,,,handoff
evidence_rows.csv,19422,8b874951562fe76c07492b91ecf78ebe422521fde6ec5b859aec250878651e8d,,,handoff
existing_fetch_sources.py.txt,6201,5d94a14e20955e5931d0dea7443c404a8071b504ef0a946ad33c5c41d247c445,,,handoff
jobs.json,1366,ec0dbc1d74582fa774d223fa0bf7b13939a8fe8948215cf1e1737fc130d8af23,,,handoff
nodes.csv,9247,3ec0147fca42fb038f304574e0310ec327b758b50b2ca39ba49e77486791bbae,,,handoff
prior-tarbell.md,15878,c63547d7907deb789b008a7528a0fcac0a3a64792ef1ec1891e117638b78b3f6,,,handoff
prior_overlap.csv,14934,aa381ccced8338dca39f4ef21646476ade2c3214b45af73312b8b93420cfd039,,,handoff
rematch/ai-futures-project.md,2988,6a940903e00bf0920a63a7436f2246050eb3354e1c6b07172666ea51b0ed5477,,,handoff
rematch/ai-policy-institute.md,2435,b2c92c110acf2a412bb7ac45a839638e02c066f1a53a8927d85889a865b437c8,,,handoff
rematch/center-for-ai-safety-action-fund.md,2537,475e56726d8e4621e4075f0fbc10c9a28aa9fd77e2d0157034b21d1cde586012,,,handoff
rematch/center-for-ai-safety.md,2478,09d792bec7ee1f3d0fb18017254d151b8548054c5fcbe62cd0ced4dcf7a376be,,,handoff
rematch/encode-ai-corporation.md,2812,128c837435f64c2cf891556ebcea4aec621ac769d35338e501b56e8ebcd9f98d,,,handoff
rematch/future-of-life-institute.md,1875,f6e7082da48e06e3615c34d1e98433d0f11bf9c792321e9d33e8f4aedb686912,,,handoff
rematch/machine-intelligence-research-institute.md,3190,ef099d16a889e00c3cac32728da5dc86ef252f708dbddfaab38ce75c7f0584a6,,,handoff
rematch/model-evaluation-and-threat-research.md,3935,5d01b876c5d7fec701254bd9e621e8baeead107b6b625d6fdc2e35a03d235d64,,,handoff
rematch/palisade-research.md,3431,9c44686c7a40b5b08e1379f4f73778603107cf8afcf723c925284d720e643950,,,handoff
sources/bass-money_flows.csv,81192,8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/17539bac0dfa40ba8b93d530e0544c883903c3ca/research/money_flows.csv,2026-09-15,primary_or_claim_source_see_filename
sources/bass-money_flows.csv.meta.json,423,be446766a26819f476c1610caeaea04b47beb0aaecd9449cef744491b31d8053,,,primary_or_claim_source_see_filename
sources/bass-redwood.csv,33420,75e475c091fde8b16eea572aef9995874c35a7d4e32f7a39f6a542d021b3d800,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/17539bac0dfa40ba8b93d530e0544c883903c3ca/research/redwood.csv,2026-09-15,primary_or_claim_source_see_filename
sources/bass-redwood.csv.meta.json,415,40b3e1d545fb3a75b39c925952da9425e109ea7857fee51ed6f0e9fa7dc1cc4f,,,primary_or_claim_source_see_filename
sources/bass-shared_donors.csv,10146,64cbccfdc4861a53d81a804b54c2d8e13e2e5f88226722420e523b481ec8786b,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/17539bac0dfa40ba8b93d530e0544c883903c3ca/research/shared_donors.csv,2026-09-15,primary_or_claim_source_see_filename
sources/bass-shared_donors.csv.meta.json,427,9b76c243736ce7d1792aafa9186611b997b4fddcb509f787ac61e63167b048f3,,,primary_or_claim_source_see_filename
sources/bass-tallinn-donations-ledger-2026-09-13.csv,112669,57ebf17c5a48ad24184942b81d39685aa34df9ae2b37b39aa39d7cc149f48b8e,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/17539bac0dfa40ba8b93d530e0544c883903c3ca/research/tallinn-donations-ledger-2026-09-13.csv,2026-09-15,primary_or_claim_source_see_filename
sources/bass-tallinn-donations-ledger-2026-09-13.csv.meta.json,471,d86200d983f3317f2201120350d969e40787808d9cdaedb21b34fb6a21dfbe7e,,,primary_or_claim_source_see_filename
