row_id,org_code,amount_usd,money_type,year,grantor,project_name,receiving_charity,source_url,source_file,source_locator,snapshot_date,published_total_usd,included_matching_pledge_usd,raw_amount_cell,raw_cells_json,derivation,freeze_sentence,matching_rate,matching_deadline
SFF-2024-G0-R2-REC,AIFP,505000,recommendation,2024,Jaan Tallinn,AI Futures Project,"Epistea, z.s.",https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 2; Total Funding Rec.,2026-09-14,505000,0,"$505,000 ($190,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""AI Futures Project"", ""Main Track Rec."": ""$71,000"", ""Freedom Track Rec."": ""$352,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$82,000"", ""Total Funding Rec."": ""$505,000 ($190,000)\u2020"", ""Receiving Charity"": ""Epistea, z.s."", ""Purpose"": ""General support of AI Futures Project""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $505,000 published funding recommendation for AI Futures Project, with receiving charity Epistea, z.s.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R20-REC,CAISAF,1621000,recommendation,2024,Jaan Tallinn,"Center for AI Safety Action Fund, Inc.","Center for AI Safety Action Fund, Inc.",https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 20; Total Funding Rec.,2026-09-14,1621000,0,"$1,621,000 ($1,120,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Center for AI Safety Action Fund, Inc."", ""Main Track Rec."": ""$1,508,000"", ""Freedom Track Rec."": ""$42,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$71,000"", ""Total Funding Rec."": ""$1,621,000 ($1,120,000)\u2020"", ""Receiving Charity"": ""Center for AI Safety Action Fund, Inc."", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $1,621,000 published funding recommendation for Center for AI Safety Action Fund, Inc., with receiving charity Center for AI Safety Action Fund, Inc.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R21-REC,CAIS,1146000,recommendation,2024,Jaan Tallinn,"Center for AI Safety, Inc.","Center for AI Safety, Inc.",https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 21; Total Funding Rec.,2026-09-14,1146000,0,"$1,146,000 ($50,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Center for AI Safety, Inc."", ""Main Track Rec."": ""$1,050,000"", ""Freedom Track Rec."": ""$19,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$77,000"", ""Total Funding Rec."": ""$1,146,000 ($50,000)\u2020"", ""Receiving Charity"": ""Center for AI Safety, Inc."", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $1,146,000 published funding recommendation for Center for AI Safety, Inc., with receiving charity Center for AI Safety, Inc.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R29-REC,ENCODE,50000,recommendation,2024,Jaan Tallinn,Encode Justice,March On Foundation,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 29; Total Funding Rec.,2026-09-14,50000,0,"$50,000 ($10,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Encode Justice"", ""Main Track Rec."": ""$0"", ""Freedom Track Rec."": ""$21,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$29,000"", ""Total Funding Rec."": ""$50,000 ($10,000)\u2020"", ""Receiving Charity"": ""March On Foundation"", ""Purpose"": ""General support of Encode Justice""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $50,000 published funding recommendation for Encode Justice, with receiving charity March On Foundation; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R46-REC,MIRI,54000,recommendation,2024,Jaan Tallinn,Machine Intelligence Research Institute,Machine Intelligence Research Institute Inc.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 46; Total Funding Rec.,2026-09-14,54000,0,"$54,000 ($40,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Machine Intelligence Research Institute"", ""Main Track Rec."": ""$0"", ""Freedom Track Rec."": ""$54,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$0"", ""Total Funding Rec."": ""$54,000 ($40,000)\u2020"", ""Receiving Charity"": ""Machine Intelligence Research Institute Inc."", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $54,000 published funding recommendation for Machine Intelligence Research Institute, with receiving charity Machine Intelligence Research Institute Inc.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R53-REC,METR,204000,recommendation,2024,Jaan Tallinn,Model Evaluation and Threat Research,"Model Evaluation and Threat Research, Inc.",https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 53; Total Funding Rec.,2026-09-14,204000,0,"$204,000 ($20,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Model Evaluation and Threat Research"", ""Main Track Rec."": ""$166,000"", ""Freedom Track Rec."": ""$2,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$36,000"", ""Total Funding Rec."": ""$204,000 ($20,000)\u2020"", ""Receiving Charity"": ""Model Evaluation and Threat Research, Inc."", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $204,000 published funding recommendation for Model Evaluation and Threat Research, with receiving charity Model Evaluation and Threat Research, Inc.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R56-REC,PALISADE,586000,recommendation,2024,Jaan Tallinn,Palisade Research,Palisade Research Inc.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 56; Total Funding Rec.,2026-09-14,586000,0,"$586,000 ($230,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""Palisade Research"", ""Main Track Rec."": ""$586,000"", ""Freedom Track Rec."": ""$0"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$0"", ""Total Funding Rec."": ""$586,000 ($230,000)\u2020"", ""Receiving Charity"": ""Palisade Research Inc."", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $586,000 published funding recommendation for Palisade Research, with receiving charity Palisade Research Inc.; this does not establish a cash payment or filing year.",,
SFF-2024-G0-R72-REC,AIPI,142000,recommendation,2024,Jaan Tallinn,The AI Policy Institute,Hack Foundation,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html,grid 0; data row 72; Total Funding Rec.,2026-09-14,142000,0,"$142,000 ($10,000)†","{""Source"": ""Jaan Tallinn"", ""Organization"": ""The AI Policy Institute"", ""Main Track Rec."": ""$0"", ""Freedom Track Rec."": ""$142,000"", ""Fairness Track Rec."": ""$0"", ""Synthetic Mean Recommender"": ""$0"", ""Total Funding Rec."": ""$142,000 ($10,000)\u2020"", ""Receiving Charity"": ""Hack Foundation"", ""Purpose"": ""General support of The AI Policy Institute""}",Exact source amount,"SFF’s 2024 round lists Jaan Tallinn as source of a $142,000 published funding recommendation for The AI Policy Institute, with receiving charity Hack Foundation; this does not establish a cash payment or filing year.",,
SFF-2025-G0-R4-REC,AIFP,1535000,recommendation,2025,Jaan Tallinn,AI Futures Project,AI Futures Project,https://survivalandflourishing.fund/2025/recommendations,sources/sff-2025.html,grid 0; data row 4; Total Funding Rec.,2026-09-14,2035000,500000,"$2,035,000 Speculation: ($95,000)† Matching: {$500,000}‡","{""Source"": ""Jaan Tallinn"", ""Organization"": ""AI Futures Project"", ""Track Rec."": ""Main: $1,530,000 Freedom: $361,000 Fairness: $0 Mean: $144,000"", ""Total Funding Rec."": ""$2,035,000 Speculation: ($95,000)\u2020 Matching: {$500,000}\u2021"", ""Receiving Charity"": ""AI Futures Project"", ""Purpose"": ""General support""}",2035000 - 500000,"SFF’s 2025 round lists Jaan Tallinn as source of a $1,535,000 non-matching portion of the published recommendation, derived as total minus included matching pledge for AI Futures Project, with receiving charity AI Futures Project; this does not establish a cash payment or filing year.",,
SFF-2025-G0-R4-MATCH,AIFP,500000,commitment,2025,Jaan Tallinn,AI Futures Project,AI Futures Project,https://survivalandflourishing.fund/2025/recommendations,sources/sff-2025.html,grid 0; data row 4; Total Funding Rec.,2026-09-14,2035000,500000,"$2,035,000 Speculation: ($95,000)† Matching: {$500,000}‡","{""Source"": ""Jaan Tallinn"", ""Organization"": ""AI Futures Project"", ""Track Rec."": ""Main: $1,530,000 Freedom: $361,000 Fairness: $0 Mean: $144,000"", ""Total Funding Rec."": ""$2,035,000 Speculation: ($95,000)\u2020 Matching: {$500,000}\u2021"", ""Receiving Charity"": ""AI Futures Project"", ""Purpose"": ""General support""}",Exact source amount,"SFF’s 2025 round lists Jaan Tallinn as source of a $500,000 conditional matching pledge included in the total recommendation for AI Futures Project, with receiving charity AI Futures Project; this does not establish a cash payment or filing year.",1x,"June 30, 2026"
