row_id,verdict,reason,source_url,source_file
PG-METR-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-MIRI-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CAIS-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CAISAF-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-AIFP-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-AIPI-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-PALISADE-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-PALISADE-2,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-ENCODE-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-IAPS-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-GOVAI-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CHT-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CIVAI-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-PAUSEUS-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-PAUSEGLOBAL-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-80K-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CSM-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-ESP-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-BFFS-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-YPA-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-AOI-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-EVITABLE-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-BIJ-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-ARC-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-REDWOOD-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CONSTELLATION-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-LONGVIEW-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-RAND-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-CANARY-1,OPEN,Original graphic unavailable and transaction dimensions unspecified; a different scoped primary row cannot confirm or contradict this claim.,https://x.com/rookepoole/status/2099660837388501127,sources/poole-thread.html.error.json
PG-MUSK-FLI,OPEN,FLI confirms an announced donation; receipt date and legal payer remain unresolved for the cash-gift interpretation.,https://futureoflife.org/newsletter/2015-a-year-in-review/,sources/fli-2015-review.html
SFF-2024-G0-R2-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R20-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R21-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R29-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R46-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R53-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R56-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2024-G0-R72-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2024/recommendations,sources/sff-2024.html
SFF-2025-G0-R4-REC,KEEP,Primary table confirms this bounded recommendation/conditional pledge; no paid grant inferred.,https://survivalandflourishing.fund/2025/recommendations,sources/sff-2025.html
