row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,funder,funder_code,input_row_ids,money_type,operation,org_id,period,period_end,period_start,quarters,route,unit,verdict
AW-ARI-2024-published_award,3000000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-1662"": ""$3,000,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-1662,published_award,sum,ARI,2024,,,,,,KEEP
AW-CAIS-2022-published_award,5160000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-1910"": ""$5,160,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-1910,published_award,sum,CAIS,2022,,,,,,KEEP
AW-CAIS-2023-published_award,7325288.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-1187"": ""$1,433,000.00"", ""A-CG-1222"": ""$1,866,559.00"", ""A-CG-1812"": ""$4,025,729.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-1187;A-CG-1222;A-CG-1812,published_award,sum,CAIS,2023,,,,,,KEEP
AW-CRI-2024-published_award,3000000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-1666"": ""$3,000,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-1666,published_award,sum,CRI,2024,,,,,,KEEP
AW-FAS-2020-published_award,175000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-124"": ""$175,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-124,published_award,sum,FAS,2020,,,,,,KEEP
AW-FAS-2021-published_award,1080000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-114"": ""$480,000.00"", ""A-CG-825"": ""$600,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-114;A-CG-825,published_award,sum,FAS,2021,,,,,,KEEP
AW-FAS-2023-published_award,352150.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-1770"": ""$352,150.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-1770,published_award,sum,FAS,2023,,,,,,KEEP
AW-FLI-2015-published_award,1186000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-903"": ""$1,186,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-903,published_award,sum,FLI,2015,,,,,,KEEP
AW-FLI-2016-published_award,100000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-904"": ""$100,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-904,published_award,sum,FLI,2016,,,,,,KEEP
AW-FLI-2017-published_award,100000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"{""A-CG-726"": ""$100,000.00""}","Same labeled money type only. Source rows retain receiving charities, payer uncertainty and allocation limits; amounts must not be added across types.",USD,,,A-CG-726,published_award,sum,FLI,2017,,,,,,KEEP
