row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,funder,grant_title,money_type,org_id,period,purpose,source_file,source_row,verdict
A-CG-114,480000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$480,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Federation of American Scientists — Biosecurity and Pandemic Preparedness Fellowship,published_award,FAS,2021-08,"Grant investigator: Andrew Snyder-Beattie



This page was reviewed but not written by the grant investigator. Federation of American Scientists staff also reviewed this page prior to publication.










Open Philanthropy recommended a grant of $480,000 over two years to the Federation of American Scientists to support a fellowship related to biosecurity and pandemic preparedness.

This follows our September 2020 support and falls within our focus area of biosecurity and pandemic preparedness.",sources/coefficient-archive.csv,114,KEEP
A-CG-124,175000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$175,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Federation of American Scientists — International Science Advisory Body for Biosecurity,published_award,FAS,2020-09,"Grant investigator: Andrew Snyder-Beattie

This page was reviewed but not written by the grant investigator. Federation of American Scientists staff also reviewed this page prior to publication.



Open Philanthropy recommended a grant of $175,000 to the Federation of American Scientists to investigate the merits of a science advisory body for the Biological Weapons Convention.

This falls within our focus area of biosecurity and pandemic preparedness.",sources/coefficient-archive.csv,124,KEEP
A-CG-518,100000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$100,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — General Support (2019),published_award,FLI,2019-10,"Grant investigator: Daniel Dewey

This page was reviewed but not written by the grant investigator. Future of Life Institute staff also reviewed this page prior to publication.



Open Philanthropy recommended a grant of $100,000 to the Future of Life Institute (FLI) for general support. FLI is a research and outreach organization that works to mitigate global catastrophic risks. We have previously collaborated with FLI on issues related to potential risks from advanced artificial intelligence.

This follows our June 2018 support.",sources/coefficient-archive.csv,518,KEEP
A-CG-519,176000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$176,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — General Support (2020),published_award,FLI,2020-11,"Grant investigator: Daniel Dewey

This page was reviewed but not written by the grant investigator. Future of Life Institute staff also reviewed this page prior to publication.



Open Philanthropy recommended a grant of $176,000 to the Future of Life Institute (FLI) for general support. FLI is a research and outreach organization that works to mitigate global catastrophic risks. This funding is intended to support the production of educational materials on issues related to potential risks from advanced artificial intelligence.

This follows our October 2019 support.",sources/coefficient-archive.csv,519,KEEP
A-CG-726,100000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$100,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — General Support (2017),published_award,FLI,2017-05,"Grant investigator: Nick Beckstead

This page was reviewed but not written by the grant investigator. Future of Life Institute staff also reviewed this page prior to publication.


The Open Philanthropy Project recommended a grant of $100,000 to the Future of Life Institute (FLI), a research and outreach organization that works to mitigate global catastrophic risks, for general support. This grant will primarily be used to help organize and administer a request for proposals for technical research related to potential risks from advanced artificial intelligence.

We have recommended two previous grants to FLI.",sources/coefficient-archive.csv,726,KEEP
A-CG-727,250000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$250,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — General Support (2018),published_award,FLI,2018-06,"Grant investigator: Nick Beckstead

This page was reviewed but not written by the grant investigator. Future of Life Institute staff also reviewed this page prior to publication.


The Open Philanthropy Project recommended a grant of $250,000 over two years to the Future of Life Institute (FLI) for general support. FLI is a research and outreach organization that works to mitigate global catastrophic risks. We have previously collaborated with FLI on issues related to potential risks from advanced artificial intelligence.

This grant is a renewal of our May 2017 support.",sources/coefficient-archive.csv,727,KEEP
A-CG-825,600000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$600,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Federation of American Scientists — High-Skilled Immigration Policy,published_award,FAS,2021-07,"Grant investigators: Emily Oehlsen and Alexander Berger

This page was reviewed but not written by the grant investigators. Federation of American Scientists staff also reviewed this page prior to publication.



Open Philanthropy recommended a grant of $600,000 over two years to the Federation of American Scientists to support work on high-skilled immigration policy.

This falls within our focus area of innovation policy.",sources/coefficient-archive.csv,825,KEEP
A-CG-903,1186000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$1,186,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — Artificial Intelligence Risk Reduction,published_award,FLI,2015-08,https://web.archive.org/web/20240601000000/https://openphilanthropy.org/grants/future-of-life-institute-artificial-intelligence-risk-reduction/,sources/coefficient-archive.csv,903,KEEP
A-CG-904,100000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$100,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Future of Life Institute — General Support,published_award,FLI,2016-03,https://web.archive.org/web/20240601000000/https://openphilanthropy.org/grants/future-of-life-institute-general-support/,sources/coefficient-archive.csv,904,KEEP
A-CG-1187,1433000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$1,433,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Center for AI Safety — Philosophy Fellowship and NeurIPS Prizes,published_award,CAIS,2023-02,"Open Philanthropy recommended a grant of $1,433,000 to the Center for AI Safety (CAIS) to support the CAIS Philosophy Fellowship, which is a research fellowship that will support philosophers researching topics related to AI safety. This grant also supported a workshop on adversarial robustness, as well as prizes for safety-related competitions at the 2022 NeurIPS conference.

This falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1187,KEEP
