row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,company_number,ein,family,legal_name,org_id,org_name,side,source_file,tax_status,verdict
ID-CAIS,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,881751310,CAIS,Center For Artificial Intelligence Safety Inc,CAIS,Center for AI Safety,safety,sources/org-881751310.json,501(c)(3),KEEP
ID-CAISAF,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,932442608,CAIS,Center For Ai Safety Action Fund Inc,CAISAF,Center for AI Safety Action Fund,safety,sources/org-932442608.json,501(c)(4),KEEP
ID-FLI,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,471052538,FLI,Future Of Life Institute,FLI,Future of Life Institute,safety,sources/org-471052538.json,501(c)(3),KEEP
ID-SAIF,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,934950919,SAIF,Safe Artificial Intelligence Forum Institute,SAIF,Safe AI Forum,safety,sources/org-934950919.json,501(c)(3),KEEP
ID-IAPS,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,320839313,IAPS,Institute For Ai Policy And Strateg Y Inc,IAPS,Institute for AI Policy and Strategy,safety,sources/org-320839313.json,501(c)(3),KEEP
ID-HORIZON,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,874657441,HORIZON,Horizon Institute For Public Service,HORIZON,Horizon Institute for Public Service,safety,sources/org-874657441.json,501(c)(3),KEEP
ID-ARI,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,933248564,ARI,Americans For Responsible Innovation Ltd,ARI,Americans for Responsible Innovation,safety,sources/org-933248564.json,501(c)(4),KEEP
ID-CRI,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,990921925,ARI,Center For Responsible Innovation Ltd,CRI,Center for Responsible Innovation,safety,sources/org-990921925.json,501(c)(3),KEEP
ID-PC,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,237104508,PC,Public Citizen Inc,PC,Public Citizen,comparator,sources/org-237104508.json,501(c)(4),KEEP
ID-PCF,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,521263996,PC,Public Citizen Foundation Inc,PCF,Public Citizen Foundation,comparator,sources/org-521263996.json,501(c)(3),KEEP
