row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,ein,form,object_id,period_end,period_start,selected,source_file,submission_date
DOC-202530159349301018,,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND INNOVATION | 03-01-2023 | 02-29-2024,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202530159349301018,2024-02-29,2023-03-01,yes,sources/return-202530159349301018.html,2025-01-14
DOC-202440169349300619,,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND INNOVATION | 03-01-2022 | 02-28-2023,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202440169349300619,2023-02-28,2022-03-01,yes,sources/return-202440169349300619.html,2024-01-14
DOC-202400169349300620,,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND INNOVATION | 03-01-2021 | 02-28-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202400169349300620,2022-02-28,2021-03-01,yes,sources/return-202400169349300620.html,2024-01-14
DOC-202300129349302490,,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND | 03-01-2021 | 02-28-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202300129349302490,2022-02-28,2021-03-01,superseded,sources/return-202300129349302490.html,2023-01-12
DOC-202240149349300339,,https://projects.propublica.org/nonprofits/full_text/202240149349300339/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND | 03-01-2020 | 02-28-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202240149349300339,2021-02-28,2020-03-01,yes,sources/return-202240149349300339.html,2022-01-14
DOC-202001959349303775,,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND | 03-01-2019 | 02-29-2020,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,202001959349303775,2020-02-29,2019-03-01,yes,sources/return-202001959349303775.html,2020-07-13
DOC-201901929349301440,,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,INFORMATION TECHNOLOGY AND | 03-01-2018 | 02-28-2019,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,204403497,IRS990,201901929349301440,2019-02-28,2018-03-01,yes,sources/return-201901929349301440.html,2019-07-11
DOC-202543149349305759,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202543149349305759,2024-12-31,2024-01-01,yes,sources/return-202543149349305759.html,2025-11-10
DOC-202413129349304911,,https://projects.propublica.org/nonprofits/full_text/202413129349304911/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2023 | 12-31-2023,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202413129349304911,2023-12-31,2023-01-01,yes,sources/return-202413129349304911.html,2024-11-07
DOC-202333189349318948,,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2022 | 12-31-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202333189349318948,2022-12-31,2022-01-01,yes,sources/return-202333189349318948.html,2023-11-14
DOC-202223199349318287,,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2021 | 12-31-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202223199349318287,2021-12-31,2021-01-01,yes,sources/return-202223199349318287.html,2022-11-15
DOC-202103199349327615,,https://projects.propublica.org/nonprofits/full_text/202103199349327615/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2020 | 12-31-2020,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202103199349327615,2020-12-31,2020-01-01,yes,sources/return-202103199349327615.html,2021-11-15
DOC-202003199349301770,,https://projects.propublica.org/nonprofits/full_text/202003199349301770/IRS990,2026-09-14,Silicon Valley Community Foundation | 01-01-2019 | 12-31-2019,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,205205488,IRS990,202003199349301770,2019-12-31,2019-01-01,yes,sources/return-202003199349301770.html,2020-11-14
DOC-202621329349306657,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2024 | 06-30-2025,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,232888152,IRS990,202621329349306657,2025-06-30,2024-07-01,yes,sources/return-202621329349306657.html,2026-05-12
DOC-202511349349313096,,https://projects.propublica.org/nonprofits/full_text/202511349349313096/IRS990,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2023 | 06-30-2024,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,232888152,IRS990,202511349349313096,2024-06-30,2023-07-01,yes,sources/return-202511349349313096.html,2025-05-14
DOC-202441359349309439,,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2022 | 06-30-2023,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,232888152,IRS990,202441359349309439,2023-06-30,2022-07-01,yes,sources/return-202441359349309439.html,2024-05-14
DOC-202331359349303108,,https://projects.propublica.org/nonprofits/full_text/202331359349303108/IRS990,2026-09-14,Vanguard Charitable Endowment Program | 07-01-2021 | 06-30-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,232888152,IRS990,202331359349303108,2022-06-30,2021-07-01,yes,sources/return-202331359349303108.html,2023-05-15
DOC-202211339349310116,,https://projects.propublica.org/nonprofits/full_text/202211339349310116/IRS990,2026-09-14,Vanguard Charitable Endowment Program | 07-01-2020 | 06-30-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,232888152,IRS990,202211339349310116,2021-06-30,2020-07-01,yes,sources/return-202211339349310116.html,2022-05-13
DOC-202521499349300917,,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2023 | 09-30-2024,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202521499349300917,2024-09-30,2023-10-01,yes,sources/return-202521499349300917.html,2025-05-29
DOC-202421509349300817,,https://projects.propublica.org/nonprofits/full_text/202421509349300817/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2022 | 09-30-2023,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202421509349300817,2023-09-30,2022-10-01,yes,sources/return-202421509349300817.html,2024-05-29
DOC-202310729349300121,,https://projects.propublica.org/nonprofits/full_text/202310729349300121/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2021 | 09-30-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202310729349300121,2022-09-30,2021-10-01,yes,sources/return-202310729349300121.html,2023-03-13
DOC-202230479349301103,,https://projects.propublica.org/nonprofits/full_text/202230479349301103/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2020 | 09-30-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202230479349301103,2021-09-30,2020-10-01,yes,sources/return-202230479349301103.html,2022-02-16
DOC-202110359349300641,,https://projects.propublica.org/nonprofits/full_text/202110359349300641/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2019 | 09-30-2020,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202110359349300641,2020-09-30,2019-10-01,yes,sources/return-202110359349300641.html,2021-02-04
DOC-202030429349300848,,https://projects.propublica.org/nonprofits/full_text/202030429349300848/IRS990,2026-09-14,PUBLIC CITIZEN INC | 10-01-2018 | 09-30-2019,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237104508,IRS990,202030429349300848,2019-09-30,2018-10-01,yes,sources/return-202030429349300848.html,2020-02-11
DOC-202501349349313450,,https://projects.propublica.org/nonprofits/full_text/202501349349313450/IRS990,2026-09-14,FEDERATION OF AMERICAN SCIENTISTS | 07-01-2023 | 06-30-2024,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237185827,IRS990,202501349349313450,2024-06-30,2023-07-01,yes,sources/return-202501349349313450.html,2025-05-14
DOC-202431369349308123,,https://projects.propublica.org/nonprofits/full_text/202431369349308123/IRS990,2026-09-14,Federation of American Scientists | 07-01-2022 | 06-30-2023,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237185827,IRS990,202431369349308123,2023-06-30,2022-07-01,yes,sources/return-202431369349308123.html,2024-05-15
DOC-202311289349301686,,https://projects.propublica.org/nonprofits/full_text/202311289349301686/IRS990,2026-09-14,Federation of American Scientists | 07-01-2021 | 06-30-2022,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237185827,IRS990,202311289349301686,2022-06-30,2021-07-01,yes,sources/return-202311289349301686.html,2023-05-08
DOC-202220689349301237,,https://projects.propublica.org/nonprofits/full_text/202220689349301237/IRS990,2026-09-14,Federation of American Scientists | 07-01-2020 | 06-30-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237185827,IRS990,202220689349301237,2021-06-30,2020-07-01,yes,sources/return-202220689349301237.html,2022-03-09
DOC-202230419349301433,,https://projects.propublica.org/nonprofits/full_text/202230419349301433/IRS990,2026-09-14,Federation of American Scientists | 07-01-2020 | 06-30-2021,Primary IRS e-file visual render hosted by Nonprofit Explorer; full source bytes retained.,237185827,IRS990,202230419349301433,2021-06-30,2020-07-01,superseded,sources/return-202230419349301433.html,2022-02-10
