row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,ein,family,field_path,metric,money_type,object_id,org_id,org_name,period_end,period_start,selected,side,source_file
R-ITIF-2024-REV-1018,6645853,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"6,645,853",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2024-ASSETS-1018,11213072,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"11,213,072",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2024-PROGRAM-1018,4474367,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"4,474,367",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2024-EXPENSE-1018,6758692,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"6,758,692",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2024-CONTRIB-1018,6351275,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"6,351,275",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2024-INVEST-1018,244555,https://projects.propublica.org/nonprofits/full_text/202530159349301018/IRS990,2026-09-14,"244,555",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202530159349301018,ITIF,Information Technology and Innovation Foundation,2024-02-29,2023-03-01,yes,industry,sources/return-202530159349301018.html
R-ITIF-2023-REV-0619,7572049,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,"7,572,049",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202440169349300619,ITIF,Information Technology and Innovation Foundation,2023-02-28,2022-03-01,yes,industry,sources/return-202440169349300619.html
R-ITIF-2023-ASSETS-0619,11637943,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,"11,637,943",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202440169349300619,ITIF,Information Technology and Innovation Foundation,2023-02-28,2022-03-01,yes,industry,sources/return-202440169349300619.html
R-ITIF-2023-PROGRAM-0619,5187772,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,"5,187,772",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202440169349300619,ITIF,Information Technology and Innovation Foundation,2023-02-28,2022-03-01,yes,industry,sources/return-202440169349300619.html
R-ITIF-2023-EXPENSE-0619,7492668,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,"7,492,668",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202440169349300619,ITIF,Information Technology and Innovation Foundation,2023-02-28,2022-03-01,yes,industry,sources/return-202440169349300619.html
