row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,funder,money_type,object_id,period_end,period_start,unit
SEARCH-202543149349305759,3576,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202543149349305759,2024-12-31,2024-01-01,rows
SEARCH-202413129349304911,3316,https://projects.propublica.org/nonprofits/full_text/202413129349304911/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2023 | 12-31-2023,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202413129349304911,2023-12-31,2023-01-01,rows
SEARCH-202333189349318948,3580,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2022 | 12-31-2022,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202333189349318948,2022-12-31,2022-01-01,rows
SEARCH-202223199349318287,3504,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2021 | 12-31-2021,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202223199349318287,2021-12-31,2021-01-01,rows
SEARCH-202103199349327615,3724,https://projects.propublica.org/nonprofits/full_text/202103199349327615/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2020 | 12-31-2020,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202103199349327615,2020-12-31,2020-01-01,rows
SEARCH-202003199349301770,3109,https://projects.propublica.org/nonprofits/full_text/202003199349301770/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2019 | 12-31-2019,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,SVCF,source_row_count,202003199349301770,2019-12-31,2019-01-01,rows
SEARCH-202621329349306657,27221,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2024 | 06-30-2025,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,Vanguard,source_row_count,202621329349306657,2025-06-30,2024-07-01,rows
SEARCH-202511349349313096,24269,https://projects.propublica.org/nonprofits/full_text/202511349349313096/IRS990ScheduleI,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2023 | 06-30-2024,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,Vanguard,source_row_count,202511349349313096,2024-06-30,2023-07-01,rows
SEARCH-202441359349309439,21268,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,VANGUARD CHARITABLE ENDOWMENT PROGRAM | 07-01-2022 | 06-30-2023,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,Vanguard,source_row_count,202441359349309439,2023-06-30,2022-07-01,rows
SEARCH-202331359349303108,21550,https://projects.propublica.org/nonprofits/full_text/202331359349303108/IRS990ScheduleI,2026-09-14,Vanguard Charitable Endowment Program | 07-01-2021 | 06-30-2022,All domestic organization grant entries parsed and searched by the entity EIN and documented name aliases; foreign schedules and unnamed subgrants not inferred. Count is the number of parsed source rows.,Vanguard,source_row_count,202331359349303108,2022-06-30,2021-07-01,rows
