row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,allocation,currency,funder,funder_ein,money_type,noncash_amount,object_id,org_id,period_end,period_start,purpose,recipient_ein,recipient_name,route,schedule_row,selected,source_fields,source_file,verdict
G-205205488-202543149349305759-540,1050540,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"1,050,540","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202543149349305759,CAIS,2024-12-31,2024-01-01,Sciences,881751310,Center for AI Safety Inc,DAF_sponsor_unspecified_fund,540,yes,"{""CashGrantAmt[1]"": ""1,050,540"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""Sciences"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Center for AI Safety Inc"", ""RecipientEIN[1]"": ""88-1751310"", ""USAddress[1]/AddressLine1Txt[1]"": ""150 Sutter Street"", ""USAddress[1]/AddressLine2Txt[1]"": ""654"", ""USAddress[1]/CityNm[1]"": ""San Francisco"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""94104"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202543149349305759.html,KEEP
G-205205488-202543149349305759-1077,333000,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"333,000","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202543149349305759,FAS,2024-12-31,2024-01-01,International Development,237185827,Federation of American Scientists,DAF_sponsor_unspecified_fund,1077,yes,"{""CashGrantAmt[1]"": ""333,000"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""International Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Federation of American Scientists"", ""RecipientEIN[1]"": ""23-7185827"", ""USAddress[1]/AddressLine1Txt[1]"": ""1150 18th Street NW"", ""USAddress[1]/AddressLine2Txt[1]"": ""Suite 425"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20036"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202543149349305759.html,KEEP
G-205205488-202543149349305759-2505,5250,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"5,250","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202543149349305759,PCF,2024-12-31,2024-01-01,Community Development,521263996,Public Citizen Foundation Inc,DAF_sponsor_unspecified_fund,2505,yes,"{""CashGrantAmt[1]"": ""5,250"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""Community Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Public Citizen Foundation Inc"", ""RecipientEIN[1]"": ""52-1263996"", ""USAddress[1]/AddressLine1Txt[1]"": ""1600 20th Street Northwest"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20009"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202543149349305759.html,KEEP
G-205205488-202413129349304911-518,1455200,https://projects.propublica.org/nonprofits/full_text/202413129349304911/IRS990ScheduleI,2026-09-14,"1,455,200","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202413129349304911,CAIS,2023-12-31,2023-01-01,Sciences,881751310,Center for AI Safety Inc,DAF_sponsor_unspecified_fund,518,yes,"{""CashGrantAmt[1]"": ""1,455,200"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""Sciences"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Center for AI Safety Inc"", ""RecipientEIN[1]"": ""88-1751310"", ""USAddress[1]/AddressLine1Txt[1]"": ""2100 Geng Road"", ""USAddress[1]/CityNm[1]"": ""Palo Alto"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""94303"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202413129349304911.html,KEEP
G-205205488-202413129349304911-1022,200500,https://projects.propublica.org/nonprofits/full_text/202413129349304911/IRS990ScheduleI,2026-09-14,"200,500","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202413129349304911,FAS,2023-12-31,2023-01-01,International Development,237185827,Federation of American Scientists,DAF_sponsor_unspecified_fund,1022,yes,"{""CashGrantAmt[1]"": ""200,500"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""International Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Federation of American Scientists"", ""RecipientEIN[1]"": ""23-7185827"", ""USAddress[1]/AddressLine1Txt[1]"": ""1112 16th Street NW"", ""USAddress[1]/AddressLine2Txt[1]"": ""Suite 600"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20036"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202413129349304911.html,KEEP
G-205205488-202333189349318948-1092,312000,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990ScheduleI,2026-09-14,"312,000","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,,202333189349318948,FAS,2022-12-31,2022-01-01,International Development,237185827,Federation of American Scientists,DAF_sponsor_unspecified_fund,1092,yes,"{""CashGrantAmt[1]"": ""312,000"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""PurposeOfGrantTxt[1]"": ""International Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Federation of American Scientists"", ""RecipientEIN[1]"": ""23-7185827"", ""USAddress[1]/AddressLine1Txt[1]"": ""1112 16th St NW Ste 400"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20036""}",sources/schedule-202333189349318948.html,KEEP
G-205205488-202333189349318948-1516,6451344,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990ScheduleI,2026-09-14,"6,451,344","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,,202333189349318948,HORIZON,2022-12-31,2022-01-01,Education,874657441,Horizon Institute for Public Service,DAF_sponsor_unspecified_fund,1516,yes,"{""CashGrantAmt[1]"": ""6,451,344"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""PurposeOfGrantTxt[1]"": ""Education"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Horizon Institute for Public Service"", ""RecipientEIN[1]"": ""87-4657441"", ""USAddress[1]/AddressLine1Txt[1]"": ""1839 Swann St NW"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20009""}",sources/schedule-202333189349318948.html,KEEP
G-205205488-202223199349318287-546,395000,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,"395,000","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202223199349318287,FAS,2021-12-31,2021-01-01,International Development,237185827,Federation of American Scientists,DAF_sponsor_unspecified_fund,546,yes,"{""CashGrantAmt[1]"": ""395,000"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""International Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Federation of American Scientists"", ""RecipientEIN[1]"": ""23-7185827"", ""USAddress[1]/AddressLine1Txt[1]"": ""1112 16th St NW"", ""USAddress[1]/AddressLine2Txt[1]"": ""Suite 400"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20036"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202223199349318287.html,KEEP
G-205205488-202223199349318287-2610,17200,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,"17,200","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202223199349318287,FLI,2021-12-31,2021-01-01,Sciences,471052538,Future of Life Institute,DAF_sponsor_unspecified_fund,2610,yes,"{""CashGrantAmt[1]"": ""17,200"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""Sciences"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Future of Life Institute"", ""RecipientEIN[1]"": ""47-1052538"", ""USAddress[1]/AddressLine1Txt[1]"": ""PO Box 706"", ""USAddress[1]/CityNm[1]"": ""Allston"", ""USAddress[1]/StateAbbreviationCd[1]"": ""MA"", ""USAddress[1]/ZIPCd[1]"": ""02134"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202223199349318287.html,KEEP
G-205205488-202223199349318287-2888,10800,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,"10,800","Filed cash disbursement. Grantee matched by EIN when supplied, otherwise normalized legal name. Sponsor name does not establish the original donor. Separate duplicate filing versions are retained and flagged.",legal-grantee,USD,SVCF,205205488,filed_cash_grant,0,202223199349318287,PCF,2021-12-31,2021-01-01,Community Development,521263996,Public Citizen Foundation Inc,DAF_sponsor_unspecified_fund,2888,yes,"{""CashGrantAmt[1]"": ""10,800"", ""IRCSectionDesc[1]"": ""501(c)(3)"", ""NonCashAssistanceAmt[1]"": ""0"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""Community Development"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""Public Citizen Foundation Inc"", ""RecipientEIN[1]"": ""52-1263996"", ""USAddress[1]/AddressLine1Txt[1]"": ""1600 20th St Northwest"", ""USAddress[1]/CityNm[1]"": ""Washington"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20009"", ""ValuationMethodUsedDesc[1]"": ""N/A""}",sources/schedule-202223199349318287.html,KEEP
