row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,closing_document,input_row_ids,org_id,period,verdict
H-CAIS-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAIS,CAIS,2019,OPEN
H-CAIS-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAIS,CAIS,2020,OPEN
H-CAIS-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAIS,CAIS,2021,OPEN
H-CAIS-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}",Revenue is available in the linked evidence row.,,R-CAIS-2022-REV-9581,CAIS,2022,KEEP
H-CAIS-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}",Revenue is available in the linked evidence row.,,R-CAIS-2023-REV-0741,CAIS,2023,KEEP
H-CAIS-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}",Revenue is available in the linked evidence row.,,R-CAIS-2024-REV-3615,CAIS,2024,KEEP
H-CAISAF-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAISAF,CAISAF,2019,OPEN
H-CAISAF-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAISAF,CAISAF,2020,OPEN
H-CAISAF-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAISAF,CAISAF,2021,OPEN
H-CAISAF-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CAISAF,CAISAF,2022,OPEN
H-CAISAF-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}",Revenue is available in the linked evidence row.,,R-CAISAF-2023-REV-5214,CAISAF,2023,KEEP
H-CAISAF-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}",Revenue is available in the linked evidence row.,,R-CAISAF-2024-REV-3287,CAISAF,2024,KEEP
H-FLI-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2019-REV-2049,FLI,2019,KEEP
H-FLI-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2020-REV-2107,FLI,2020,KEEP
H-FLI-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2021-REV-0240,FLI,2021,KEEP
H-FLI-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2022-REV-1606,FLI,2022,KEEP
H-FLI-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2023-REV-1937,FLI,2023,KEEP
H-FLI-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}",Revenue is available in the linked evidence row.,,R-FLI-2024-REV-3667,FLI,2024,KEEP
H-SAIF-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-SAIF,SAIF,2019,OPEN
H-SAIF-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-SAIF,SAIF,2020,OPEN
H-SAIF-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-SAIF,SAIF,2021,OPEN
H-SAIF-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-SAIF,SAIF,2022,OPEN
H-SAIF-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-SAIF,SAIF,2023,OPEN
H-SAIF-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}",Revenue is available in the linked evidence row.,,R-SAIF-2024-REV-0600,SAIF,2024,KEEP
H-IAPS-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2019,OPEN
