row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,amount_field,api_url,client_id,client_name,client_self_select,currency,dt_posted,filing_type,filing_type_display,filing_uuid,issue_codes,issue_descriptions,money_type,org_id,period,quarter,registrant_id,registrant_name,selected,source_file,verdict
L-0031ba6c-81de-421e-b91b-c64b2b974cc5,30000.00,https://lda.gov/filings/public/filing/0031ba6c-81de-421e-b91b-c64b2b974cc5/print/,2026-09-14,"{""filing_uuid"":""0031ba6c-81de-421e-b91b-c64b2b974cc5"",""filing_type"":""Q1"",""filing_year"":2026,""filing_period"":""first_quarter"",""income"":""30000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/0031ba6c-81de-421e-b91b-c64b2b974cc5/,52885,AMAZON WEB SERVICES,False,USD,2026-04-19T22:01:37-04:00,Q1,1st Quarter - Report,0031ba6c-81de-421e-b91b-c64b2b974cc5,ENG,"[""Issues related to permitting reform.""]",lobbying_external_fees,Amazon,2026,1,401104982,"AQUIA GROUP, LLC",yes,sources/lda-amazon-2026-p1.json,KEEP
L-00456d84-f1a6-40e5-8bdd-bab58406ea90,60000.00,https://lda.gov/filings/public/filing/00456d84-f1a6-40e5-8bdd-bab58406ea90/print/,2026-09-14,"{""filing_uuid"":""00456d84-f1a6-40e5-8bdd-bab58406ea90"",""filing_type"":""Q2"",""filing_year"":2021,""filing_period"":""second_quarter"",""income"":""60000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/00456d84-f1a6-40e5-8bdd-bab58406ea90/,200230,"META PLATFORMS, INC.",,USD,2021-07-20T07:33:59.517000-04:00,Q2,2nd Quarter - Report,00456d84-f1a6-40e5-8bdd-bab58406ea90,BAN,"[""Issues related to digital currency models, diversity in the technology sector, privacy, advertising and data security.""]",lobbying_external_fees,Meta,2021,2,401103834,"THEGROUP DC, LLC",yes,sources/lda-meta-platforms-2021-p2.json,KEEP
L-0047e111-1534-41b4-a58c-074aaa63edb0,30000.00,https://lda.gov/filings/public/filing/0047e111-1534-41b4-a58c-074aaa63edb0/print/,2026-09-14,"{""filing_uuid"":""0047e111-1534-41b4-a58c-074aaa63edb0"",""filing_type"":""Q1"",""filing_year"":2020,""filing_period"":""first_quarter"",""income"":""30000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/0047e111-1534-41b4-a58c-074aaa63edb0/,185717,FACEBOOK,,USD,2020-04-20T12:33:50.807000-04:00,Q1,1st Quarter - Report,0047e111-1534-41b4-a58c-074aaa63edb0,CPI;CSP;GOV,"[""Federal issues related to technology and internet policy, including privacy and cyber and data security."", ""Federal issues related to technology and internet policy, including privacy and cyber and data security."", ""Federal issues related to technology and internet policy, including privacy and cyber and data security.""]",lobbying_external_fees,Meta,2020,1,316057,ICE MILLER STRATEGIES LLC,superseded_or_registration_or_incomplete_quarter,sources/lda-facebook-2020-p1.json,KEEP
L-005a6c86-a73c-4b92-9b5a-1d4591ea4960,20000.00,https://lda.gov/filings/public/filing/005a6c86-a73c-4b92-9b5a-1d4591ea4960/print/,2026-09-14,"{""filing_uuid"":""005a6c86-a73c-4b92-9b5a-1d4591ea4960"",""filing_type"":""Q3"",""filing_year"":2023,""filing_period"":""third_quarter"",""income"":""20000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown. Client expressly names an intermediary; excluded from direct external-fee totals to avoid counting subcontracts twice.",income,https://lda.gov/api/v1/filings/005a6c86-a73c-4b92-9b5a-1d4591ea4960/,54583,"AQUIA GROUP ON BEHALF OF ANTHROPIC, PBC",False,USD,2023-10-23T11:28:05-04:00,Q3,3rd Quarter - Report,005a6c86-a73c-4b92-9b5a-1d4591ea4960,SCI,"[""Issues related to Artificial Intelligence, generally; increased funding for NIST in the FY24 Commerce, Justice, State Appropriations Bill.""]",lobbying_subcontractor_fees,Anthropic,2023,3,401105158,TOWER 19,yes,sources/lda-anthropic-2023-p1.json,KEEP
L-006b6e06-916d-47fc-979d-43d0e5a4845d,50000.00,https://lda.gov/filings/public/filing/006b6e06-916d-47fc-979d-43d0e5a4845d/print/,2026-09-14,"{""filing_uuid"":""006b6e06-916d-47fc-979d-43d0e5a4845d"",""filing_type"":""Q3"",""filing_year"":2020,""filing_period"":""third_quarter"",""income"":""50000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/006b6e06-916d-47fc-979d-43d0e5a4845d/,172284,AMAZON.COM (FRA PILLPACK AN AMAZON COMPANY),,USD,2020-10-16T09:17:19.930000-04:00,Q3,3rd Quarter - Report,006b6e06-916d-47fc-979d-43d0e5a4845d,PHA,"[""Educate Members on pharmacy contracting with pharmacy benefit managers\nMonitoring legislation on drug price transparency and market access issues including legislative proposals related to drug pricing\nS 1895 Lower Healthcare Costs Act\nHR 2296 Fair Accountability and Innovative Research Drug Pricing Act\nHR 2376 Prescription Pricing for the People Act""]",lobbying_external_fees,Amazon,2020,3,84217,"CARD & ASSOCIATES, LLC",yes,sources/lda-amazon-2020-p3.json,KEEP
L-007eb0ac-45b1-46e1-922b-c9986eeb5e1f,,https://lda.gov/filings/public/filing/007eb0ac-45b1-46e1-922b-c9986eeb5e1f/print/,2026-09-14,"{""filing_uuid"":""007eb0ac-45b1-46e1-922b-c9986eeb5e1f"",""filing_type"":""RR"",""filing_year"":2025,""filing_period"":""first_quarter"",""income"":null,""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income/expenses,https://lda.gov/api/v1/filings/007eb0ac-45b1-46e1-922b-c9986eeb5e1f/,66050,MICROSOFT CORPORATION,False,USD,2025-04-20T22:34:45-04:00,RR,Registration,007eb0ac-45b1-46e1-922b-c9986eeb5e1f,BUD;CPI;SCI;TAX,"[""Matters related to federal government technology procurement, artificial intelligence, privacy, and taxation."", ""Matters related to federal government technology procurement, artificial intelligence, privacy, and taxation."", ""Matters related to federal government technology procurement, artificial intelligence, privacy, and taxation."", ""Matters related to federal government technology procurement, artificial intelligence, privacy, and taxation.""]",lobbying_unquantified_report,Microsoft,2025,1,401103565,MICHAEL BEST STRATEGIES LLC,superseded_or_registration_or_incomplete_quarter,sources/lda-microsoft-2025-p1.json,OPEN
L-00999bca-7389-4ebd-832d-ab1bbae0e5a8,30000.00,https://lda.gov/filings/public/filing/00999bca-7389-4ebd-832d-ab1bbae0e5a8/print/,2026-09-14,"{""filing_uuid"":""00999bca-7389-4ebd-832d-ab1bbae0e5a8"",""filing_type"":""Q4"",""filing_year"":2020,""filing_period"":""fourth_quarter"",""income"":""30000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/00999bca-7389-4ebd-832d-ab1bbae0e5a8/,201868,GOOGLE CLIENT SERVICES LLC,,USD,2021-01-15T14:55:43.333000-05:00,Q4,4th Quarter - Report,00999bca-7389-4ebd-832d-ab1bbae0e5a8,CPT;LBR,"[""Copyright Matters."", ""Antitrust Issues.""]",lobbying_external_fees,Google,2020,4,401104454,FOCUS DC LLC,yes,sources/lda-google-2020-p3.json,KEEP
L-00a0cdc5-10c0-49d5-bc25-7998536c99ce,80000.00,https://lda.gov/filings/public/filing/00a0cdc5-10c0-49d5-bc25-7998536c99ce/print/,2026-09-14,"{""filing_uuid"":""00a0cdc5-10c0-49d5-bc25-7998536c99ce"",""filing_type"":""Q3"",""filing_year"":2023,""filing_period"":""third_quarter"",""income"":""80000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/00a0cdc5-10c0-49d5-bc25-7998536c99ce/,163092,AMAZON.COM,False,USD,2023-10-20T14:21:51-04:00,Q3,3rd Quarter - Report,00a0cdc5-10c0-49d5-bc25-7998536c99ce,TAX,"[""Legislative and regulatory issues related to corporate and international tax, H.R. 3938, Build It In America Act, and S. 866, American Innovation and Jobs Act.""]",lobbying_external_fees,Amazon,2023,3,65976,"CAPITOL TAX PARTNERS, LLP",yes,sources/lda-amazon-2023-p4.json,KEEP
L-00ae8beb-3dc8-400a-a94f-be7b94ffda1b,50000.00,https://lda.gov/filings/public/filing/00ae8beb-3dc8-400a-a94f-be7b94ffda1b/print/,2026-09-14,"{""filing_uuid"":""00ae8beb-3dc8-400a-a94f-be7b94ffda1b"",""filing_type"":""Q2"",""filing_year"":2025,""filing_period"":""second_quarter"",""income"":""50000.00"",""expenses"":null}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",income,https://lda.gov/api/v1/filings/00ae8beb-3dc8-400a-a94f-be7b94ffda1b/,53262,"AMAZON CORPORATE, LLC",False,USD,2025-07-16T13:05:17-04:00,Q2,2nd Quarter - Report,00ae8beb-3dc8-400a-a94f-be7b94ffda1b,TEC,"[""Issues related to unlicensed spectrum allocations, non-geosynchronous satellite constellations, and consumer technology devices.""]",lobbying_external_fees,Amazon,2025,2,401105514,SALT POINT STRATEGIES,yes,sources/lda-amazon-2025-p2.json,KEEP
L-00cad027-52b1-46eb-aac9-e871a0f18c49,4110000.00,https://lda.gov/filings/public/filing/00cad027-52b1-46eb-aac9-e871a0f18c49/print/,2026-09-14,"{""filing_uuid"":""00cad027-52b1-46eb-aac9-e871a0f18c49"",""filing_type"":""Q2"",""filing_year"":2019,""filing_period"":""second_quarter"",""income"":null,""expenses"":""4110000.00""}","Latest report per registrant/client/year/quarter is eligible; registrations and superseded reports are excluded. All issues combined; no dollar allocation to AI. Income is the outside registrant’s reported fee, not lab self-reported expense. API blank amounts remain unknown.",expenses,https://lda.gov/api/v1/filings/00cad027-52b1-46eb-aac9-e871a0f18c49/,191116,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",True,USD,2019-07-22T17:12:14.933000-04:00,Q2,2nd Quarter - Report,00cad027-52b1-46eb-aac9-e871a0f18c49,CIV;CPI;CPT;GOV;HOM;IMM;MIA;SCI;TAX;TEC;TRD,"[""H.R.5 - Equality Act; issues related to hate speech; update on civil rights issues related to advertising practices."", ""Discussions regarding corporate tax issues and international tax policy; HR 1957, Taxpayer First Act."", ""Discussions regarding free trade agreements; North American Free Trade Agreement (NAFTA); data localization and cross-border trade flows; trade promotion authority and digital trade; tariffs; the US Mexico Canada Agreement (USMCA); Commerce export regulations - emerging technology; China; US-India trade negotiations."", ""Issues related to infrastructure."", ""Discussions regarding general intellectual property issues, including copyright reform and the Safe Harbor provision of the Online Copyright Infringement Liability Limitation Act (Section 512)."", ""Election integrity issues; H.R.1 - For the People Act of 2019; co-regulation; Honest Ads Act (S.1356, H.R. 2592)"", ""Discussions regarding comprehensive reform of immigration system, including temporary high-tech worker visas and employment-based permanent residency; Consideration of Deferred Action for Childhood Arrivals (DACA); The Fairness for High-Skilled Immigrants Act of 2019, H.R. 1044."", ""Issues and discussions related to technology and the Internet including privacy, security, competition, and research; online advertising, content and platform transparency efforts; Honest Ads Act (S.1356, H.R. 2592); diversity and improving education in science, technology and engineering; protecting children and online safety; human trafficking relief; Section 230 of the Communications Decency Act; general discussions on data breach; discussions regarding net neutrality and connectivity, H.R.1644 - Save the Internet Act of 2019; issues related to opioid policy; The DETOUR Act (Deceptive Experiences To Online Users Reduction), Childrens Online Privacy Protection Rule, bullying prevention efforts, data portability and interoperability; issues related to platform integrity and cybersecurity, storage and access to electronic communications and encryption; discussions on the reauthorization of expiring provisions of the USA Freedom Act; Computer Science for All Act of 2019 (H.R. 1485); Federal Campaign Cybersecurity Assistance Act of 2019; issues related to blockchain policy; SHIELD Act of 2019 (H.R. 2896)"", ""Discussion regarding cyber security, data security, encryption, platform integrity, content policy, and terrorism."", ""Continued conversations on Artificial Intelligence, H.Res.153."", ""Education regarding internet security policy and internet privacy issues, federal privacy legislation, and freedom of expression on the internet, including connectivity, spectrum and access issues; Journalism Competition and Preservation Act, H.R. 2054""]",lobbying_self_expenses,Meta,2019,2,400458207,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",yes,sources/lda-meta-platforms-2019-p1.json,KEEP
