row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,client_id,client_name,org_id,source_file,verdict
LA-52885,,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2026&page_size=100,2026-09-14,AMAZON WEB SERVICES,"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",52885,AMAZON WEB SERVICES,Amazon,sources/lda-amazon-2026-p1.json,KEEP
LA-200230,,https://lda.gov/api/v1/filings/?client_name=Meta+Platforms&filing_year=2021&page=2&page_size=100,2026-09-14,"META PLATFORMS, INC.","Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",200230,"META PLATFORMS, INC.",Meta,sources/lda-meta-platforms-2021-p2.json,KEEP
LA-185717,,https://lda.gov/api/v1/filings/?client_name=Facebook&filing_year=2020&page_size=100,2026-09-14,FACEBOOK,"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",185717,FACEBOOK,Meta,sources/lda-facebook-2020-p1.json,KEEP
LA-54583,,https://lda.gov/api/v1/filings/?client_name=Anthropic&filing_year=2023&page_size=100,2026-09-14,"AQUIA GROUP ON BEHALF OF ANTHROPIC, PBC","Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",54583,"AQUIA GROUP ON BEHALF OF ANTHROPIC, PBC",Anthropic,sources/lda-anthropic-2023-p1.json,KEEP
LA-172284,,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2020&page=3&page_size=100,2026-09-14,AMAZON.COM (FRA PILLPACK AN AMAZON COMPANY),"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",172284,AMAZON.COM (FRA PILLPACK AN AMAZON COMPANY),Amazon,sources/lda-amazon-2020-p3.json,KEEP
LA-66050,,https://lda.gov/api/v1/filings/?client_name=Microsoft&filing_year=2025&page_size=100,2026-09-14,MICROSOFT CORPORATION,"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",66050,MICROSOFT CORPORATION,Microsoft,sources/lda-microsoft-2025-p1.json,KEEP
LA-201868,,https://lda.gov/api/v1/filings/?client_name=Google&filing_year=2020&page=3&page_size=100,2026-09-14,GOOGLE CLIENT SERVICES LLC,"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",201868,GOOGLE CLIENT SERVICES LLC,Google,sources/lda-google-2020-p3.json,KEEP
LA-163092,,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2023&page=4&page_size=100,2026-09-14,AMAZON.COM,"Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",163092,AMAZON.COM,Amazon,sources/lda-amazon-2023-p4.json,KEEP
LA-53262,,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2025&page=2&page_size=100,2026-09-14,"AMAZON CORPORATE, LLC","Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",53262,"AMAZON CORPORATE, LLC",Amazon,sources/lda-amazon-2025-p2.json,KEEP
LA-191116,,https://lda.gov/api/v1/filings/?client_name=Meta+Platforms&filing_year=2019&page_size=100,2026-09-14,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES","Named corporate client, assigned to this lab family. Historical corporate names are retained exactly as returned by the API; no subsidiary-specific AI allocation.",191116,"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",Meta,sources/lda-meta-platforms-2019-p1.json,KEEP
