row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,money_type,pages,period,source_file,term,unit,verdict
LQ-amazon-2019,86,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2019&page_size=100,2026-09-14,"""count"": 86","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2019-p1.json"", ""lda-amazon-2019-p2.json"", ""lda-amazon-2019-p3.json"", ""lda-amazon-2019-p4.json""]",2019,sources/lda-amazon-2019-p1.json,amazon,filings,KEEP
LQ-amazon-2020,104,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2020&page_size=100,2026-09-14,"""count"": 104","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2020-p1.json"", ""lda-amazon-2020-p2.json"", ""lda-amazon-2020-p3.json"", ""lda-amazon-2020-p4.json"", ""lda-amazon-2020-p5.json""]",2020,sources/lda-amazon-2020-p1.json,amazon,filings,KEEP
LQ-amazon-2021,112,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2021&page_size=100,2026-09-14,"""count"": 112","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2021-p1.json"", ""lda-amazon-2021-p2.json"", ""lda-amazon-2021-p3.json"", ""lda-amazon-2021-p4.json"", ""lda-amazon-2021-p5.json""]",2021,sources/lda-amazon-2021-p1.json,amazon,filings,KEEP
LQ-amazon-2022,134,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2022&page_size=100,2026-09-14,"""count"": 134","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2022-p1.json"", ""lda-amazon-2022-p2.json"", ""lda-amazon-2022-p3.json"", ""lda-amazon-2022-p4.json"", ""lda-amazon-2022-p5.json"", ""lda-amazon-2022-p6.json""]",2022,sources/lda-amazon-2022-p1.json,amazon,filings,KEEP
LQ-amazon-2023,122,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2023&page_size=100,2026-09-14,"""count"": 122","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2023-p1.json"", ""lda-amazon-2023-p2.json"", ""lda-amazon-2023-p3.json"", ""lda-amazon-2023-p4.json"", ""lda-amazon-2023-p5.json""]",2023,sources/lda-amazon-2023-p1.json,amazon,filings,KEEP
LQ-amazon-2024,123,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2024&page_size=100,2026-09-14,"""count"": 123","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2024-p1.json"", ""lda-amazon-2024-p2.json"", ""lda-amazon-2024-p3.json"", ""lda-amazon-2024-p4.json"", ""lda-amazon-2024-p5.json""]",2024,sources/lda-amazon-2024-p1.json,amazon,filings,KEEP
LQ-amazon-2025,104,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2025&page_size=100,2026-09-14,"""count"": 104","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2025-p1.json"", ""lda-amazon-2025-p2.json"", ""lda-amazon-2025-p3.json"", ""lda-amazon-2025-p4.json"", ""lda-amazon-2025-p5.json""]",2025,sources/lda-amazon-2025-p1.json,amazon,filings,KEEP
LQ-amazon-2026,54,https://lda.gov/api/v1/filings/?client_name=Amazon&filing_year=2026&page_size=100,2026-09-14,"""count"": 54","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-amazon-2026-p1.json"", ""lda-amazon-2026-p2.json"", ""lda-amazon-2026-p3.json""]",2026,sources/lda-amazon-2026-p1.json,amazon,filings,KEEP
LQ-anthropic-2019,0,https://lda.gov/api/v1/filings/?client_name=Anthropic&filing_year=2019&page_size=100,2026-09-14,"""count"": 0","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-anthropic-2019-p1.json""]",2019,sources/lda-anthropic-2019-p1.json,anthropic,filings,KEEP
LQ-anthropic-2020,0,https://lda.gov/api/v1/filings/?client_name=Anthropic&filing_year=2020&page_size=100,2026-09-14,"""count"": 0","Complete public client-name query for this filing year, including all pages. A zero count is a bounded search result, not zero spending.",query_result_count,"[""lda-anthropic-2020-p1.json""]",2020,sources/lda-anthropic-2020-p1.json,anthropic,filings,KEEP
