row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,claim,closing_document,input_row_ids,metric,org_id,period,verdict
O-V-CAIS-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CAIS,,CAIS,,OPEN
O-V-CAIS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/881751310.json,2026-09-14,"{""name"":""Center For Artificial Intelligence Safety Inc"",""ein"":881751310,""subsection_code"":3,""ruling_date"":""2023-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CAIS;DP-CAIS,,CAIS,,OPEN
O-V-CAISAF-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-CAISAF,,CAISAF,,OPEN
O-V-CAISAF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CAISAF,,CAISAF,,OPEN
O-V-CAISAF-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-CAISAF,,CAISAF,,OPEN
O-V-CAISAF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/932442608.json,2026-09-14,"{""name"":""Center For Ai Safety Action Fund Inc"",""ein"":932442608,""subsection_code"":4,""ruling_date"":""2023-10-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CAISAF;DP-CAISAF,,CAISAF,,OPEN
O-V-FLI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-FLI;DP-FLI,,FLI,,OPEN
O-V-SAIF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-SAIF,,SAIF,,OPEN
O-V-SAIF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-SAIF;DP-SAIF,,SAIF,,OPEN
O-V-IAPS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-IAPS,,IAPS,,OPEN
