row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,funder,money_type,org_id,period,raw_cells,receiving_charity,recipient_project,source_column,source_file,source_row,verdict
S-SFF-2020-H1-T0-5-C2,100000,https://survivalandflourishing.fund/2020/h1/recommendations,2026-09-14,"$100,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,SFF,recommendation,FLI,2020-h1,"[""SFF"", ""Future of Life Institute"", ""$100,000"", ""Future of Life Institute"", ""General support""]",Future of Life Institute,Future of Life Institute,Amount,sources/sff-2020-h1.html,5,KEEP
S-SFF-2020-H1-T0-11-C2,30000,https://survivalandflourishing.fund/2020/h1/recommendations,2026-09-14,"$30,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Jaan Tallinn,recommendation,FLI,2020-h1,"[""Jaan Tallinn"", ""Future of Life Institute"", ""$30,000"", ""Future of Life Institute"", ""General support""]",Future of Life Institute,Future of Life Institute,Amount,sources/sff-2020-h1.html,11,KEEP
S-SFF-2020-H1-T0-24-C2,10000,https://survivalandflourishing.fund/2020/h1/recommendations,2026-09-14,"$10,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Jed McCaleb,recommendation,FLI,2020-h1,"[""Jed McCaleb"", ""Future of Life Institute"", ""$10,000"", ""Future of Life Institute"", ""General support""]",Future of Life Institute,Future of Life Institute,Amount,sources/sff-2020-h1.html,24,KEEP
S-SFF-2020-H2-T0-1-C2,23000,https://survivalandflourishing.fund/2020/h2/recommendations,2026-09-14,"$23,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,SFF,recommendation,FLI,2020-h2,"[""SFF"", ""Future of Life Institute"", ""$23,000"", ""Future of Life Institute"", ""General support""]",Future of Life Institute,Future of Life Institute,Amount,sources/sff-2020-h2.html,1,KEEP
S-SFF-2020-H2-T0-16-C2,347000,https://survivalandflourishing.fund/2020/h2/recommendations,2026-09-14,"$347,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Jaan Tallinn,recommendation,FLI,2020-h2,"[""Jaan Tallinn"", ""Future of Life Institute"", ""$347,000"", ""Future of Life Institute"", ""General support""]",Future of Life Institute,Future of Life Institute,Amount,sources/sff-2020-h2.html,16,KEEP
S-SFF-2023-H1-T0-8-C1,22000,https://survivalandflourishing.fund/2023/h1/recommendations,2026-09-14,"$22,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Amount,recommendation,CAIS,2023-h1,"[""Center for AI Safety"", ""$22,000"", ""Center for AI Safety, Inc."", ""General Support""]","Center for AI Safety, Inc.",Center for AI Safety,Amount,sources/sff-2023-h1.html,8,KEEP
S-SFF-2023-H2-T0-27-C1,22125,https://survivalandflourishing.fund/2023/h2/recommendations,2026-09-14,"$22,125","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Amount (Jaan Tallinn via LSG),recommendation,CAISAF,2023-h2,"[""Center for AI Safety Action Fund"", ""$22,125 \u00b6 ($0)\u2021"", ""$0"", ""$0"", ""$397,875 ($600,000)\u2020"", ""N/A"", ""General Support""]",N/A,Center for AI Safety Action Fund,Amount (Jaan Tallinn via LSG),sources/sff-2023-h2.html,27,KEEP
S-SFF-2023-H2-T0-27-C4,397875,https://survivalandflourishing.fund/2023/h2/recommendations,2026-09-14,"$397,875","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Amount (Jaan Tallinn via SFC),recommendation,CAISAF,2023-h2,"[""Center for AI Safety Action Fund"", ""$22,125 \u00b6 ($0)\u2021"", ""$0"", ""$0"", ""$397,875 ($600,000)\u2020"", ""N/A"", ""General Support""]",N/A,Center for AI Safety Action Fund,Amount (Jaan Tallinn via SFC),sources/sff-2023-h2.html,27,KEEP
S-SFF-2023-H2-T0-28-C1,16154,https://survivalandflourishing.fund/2023/h2/recommendations,2026-09-14,"$16,154","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Amount (Jaan Tallinn via LSG),recommendation,CAIS,2023-h2,"[""Center for AI Safety, Inc."", ""$16,154 ($0)\u2021"", ""$0"", ""$893,000"", ""$0"", ""Center for Artificial Intelligence Safety, Inc."", ""General Support""]","Center for Artificial Intelligence Safety, Inc.","Center for AI Safety, Inc.",Amount (Jaan Tallinn via LSG),sources/sff-2023-h2.html,28,KEEP
S-SFF-2023-H2-T0-28-C3,893000,https://survivalandflourishing.fund/2023/h2/recommendations,2026-09-14,"$893,000","Published recommendation, not a confirmed cash disbursement. Parenthesized amounts are excluded; source column retained.",USD,Amount (Jaan Tallinn via SFF),recommendation,CAIS,2023-h2,"[""Center for AI Safety, Inc."", ""$16,154 ($0)\u2021"", ""$0"", ""$893,000"", ""$0"", ""Center for Artificial Intelligence Safety, Inc."", ""General Support""]","Center for Artificial Intelligence Safety, Inc.","Center for AI Safety, Inc.",Amount (Jaan Tallinn via SFF),sources/sff-2023-h2.html,28,KEEP
S-SFF-2024-C9-20,1621000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$1,621,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,CAISAF,2024,"[""Jaan Tallinn"", ""Center for AI Safety Action Fund, Inc."", ""$1,508,000"", ""$42,000"", ""$0"", ""$71,000"", ""$1,621,000 ($1,120,000)\u2020"", ""Center for AI Safety Action Fund, Inc."", ""General support""]","Center for AI Safety Action Fund, Inc.","Center for AI Safety Action Fund, Inc.",,sources/sff-2024.html,20,KEEP
S-SFF-2024-C9-21,1146000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$1,146,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,CAIS,2024,"[""Jaan Tallinn"", ""Center for AI Safety, Inc."", ""$1,050,000"", ""$19,000"", ""$0"", ""$77,000"", ""$1,146,000 ($50,000)\u2020"", ""Center for AI Safety, Inc."", ""General support""]","Center for AI Safety, Inc.","Center for AI Safety, Inc.",,sources/sff-2024.html,21,KEEP
S-SFF-2024-C9-29,50000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$50,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,ENCODE,2024,"[""Jaan Tallinn"", ""Encode Justice"", ""$0"", ""$21,000"", ""$0"", ""$29,000"", ""$50,000 ($10,000)\u2020"", ""March On Foundation"", ""General support of Encode Justice""]",March On Foundation,Encode Justice,,sources/sff-2024.html,29,KEEP
S-SFF-2024-C9-38,183000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$183,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,IAPS,2024,"[""Jaan Tallinn"", ""Institute for AI Policy and Strategy"", ""$32,000"", ""$113,000"", ""$0"", ""$38,000"", ""$183,000 ($30,000)\u2020"", ""Rethink Priorities"", ""General support of Institute for AI Policy and Strategy""]",Rethink Priorities,Institute for AI Policy and Strategy,,sources/sff-2024.html,38,KEEP
S-SFF-2024-C9-62,580000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$580,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,SAIF,2024,"[""Jaan Tallinn"", ""Safe AI Forum"", ""$545,000"", ""$0"", ""$0"", ""$36,000"", ""$580,000 ($40,000)\u2020"", ""FAR AI, Inc."", ""General support of Safe AI Forum""]","FAR AI, Inc.",Safe AI Forum,,sources/sff-2024.html,62,KEEP
S-SFF-2024-C9-72,142000,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,"$142,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,AIPI,2024,"[""Jaan Tallinn"", ""The AI Policy Institute"", ""$0"", ""$142,000"", ""$0"", ""$0"", ""$142,000 ($10,000)\u2020"", ""Hack Foundation"", ""General support of The AI Policy Institute""]",Hack Foundation,The AI Policy Institute,,sources/sff-2024.html,72,KEEP
S-SFF-2025-C6-6,1635000,https://survivalandflourishing.fund/2025/recommendations,2026-09-14,"$1,635,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,AIPI,2025,"[""Jaan Tallinn"", ""AI Policy Institute (AIPI)"", ""Main: $958,000 Freedom: $584,000 Fairness: $0 Mean: $93,000"", ""$1,635,000 Speculation: ($200,000)\u2020"", ""The Hack Foundation"", ""General support of AI Policy Institute""]",The Hack Foundation,AI Policy Institute (AIPI),,sources/sff-2025.html,6,KEEP
S-SFF-2025-C6-17,289000,https://survivalandflourishing.fund/2025/recommendations,2026-09-14,"$289,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,CAIS,2025,"[""Jaan Tallinn"", ""Center for AI Safety (CAIS)"", ""Main: $210,000 Freedom: $78,000 Fairness: $0 Mean: $0"", ""$289,000 Speculation: ($433,911)\u2020"", ""Center for AI Safety, Inc."", ""General support""]","Center for AI Safety, Inc.",Center for AI Safety (CAIS),,sources/sff-2025.html,17,KEEP
S-SFF-2025-C6-18,772000,https://survivalandflourishing.fund/2025/recommendations,2026-09-14,"$772,000",Published recommendation only. Main recommendation amount excludes separately parenthesized speculation amounts and matching amounts; those are not additional cash disbursements here.,USD,Jaan Tallinn,recommendation,CAISAF,2025,"[""Jaan Tallinn"", ""Center for AI Safety Action Fund (CAIS AF)"", ""Main: $445,000 Freedom: $228,000 Fairness: $0 Mean: $98,000"", ""$772,000 Speculation: ($285,000)\u2020"", ""Center for AI Safety Action Fund, Inc."", ""General support""]","Center for AI Safety Action Fund, Inc.",Center for AI Safety Action Fund (CAIS AF),,sources/sff-2025.html,18,KEEP
