row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,author_amount,author_name,author_row_id,author_tier,currency,funder,money_type,object_id,period_end,period_start,purpose,recipient_ein,recipient_name,schedule_row,source_fields,source_file,verdict
RM-VG001,250000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"250,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",250000,1Day Sooner,VG001,A-EA infrastructure,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,851103820,1DAY SOONER INC,17,"{""CashGrantAmt[1]"": ""250,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""1DAY SOONER INC"", ""RecipientEIN[1]"": ""85-1103820"", ""USAddress[1]/AddressLine1Txt[1]"": ""2093 PHILADELPHIA PIKE 6363"", ""USAddress[1]/CityNm[1]"": ""CLAYMONT"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DE"", ""USAddress[1]/ZIPCd[1]"": ""19703"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG002,201000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"201,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",201000,Alignment Research Center,VG002,A-AI safety,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,863605182,ALIGNMENT RESEARCH CENTER,408,"{""CashGrantAmt[1]"": ""201,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""ALIGNMENT RESEARCH CENTER"", ""RecipientEIN[1]"": ""86-3605182"", ""USAddress[1]/AddressLine1Txt[1]"": ""440 N BARRANCA AVE"", ""USAddress[1]/CityNm[1]"": ""COVINA"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""91723"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG003,385353,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"385,353","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",385353,Animal Charity Evaluators,VG003,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,364684978,ANIMAL CHARITY EVALUATORS,926,"{""CashGrantAmt[1]"": ""385,353"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""ANIMAL CHARITY EVALUATORS"", ""RecipientEIN[1]"": ""36-4684978"", ""USAddress[1]/AddressLine1Txt[1]"": ""440 N BARRANCA AVE 3480"", ""USAddress[1]/CityNm[1]"": ""COVINA"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""91723"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG004,10000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"10,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",10000,Center for Applied Rationality,VG004,A-AI safety,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,453100226,CENTER FOR APPLIED RATIONALITY,3069,"{""CashGrantAmt[1]"": ""10,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""CENTER FOR APPLIED RATIONALITY"", ""RecipientEIN[1]"": ""45-3100226"", ""USAddress[1]/AddressLine1Txt[1]"": ""2428 DWIGHT WAY STE 6"", ""USAddress[1]/CityNm[1]"": ""BERKELEY"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""94704"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG005,106000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"106,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",106000,Center for Election Science,VG005,A-EA infrastructure,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,452334002,CENTER FOR ELECTION SCIENCE,3094,"{""CashGrantAmt[1]"": ""106,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""CENTER FOR ELECTION SCIENCE"", ""RecipientEIN[1]"": ""45-2334002"", ""USAddress[1]/AddressLine1Txt[1]"": ""440 N BARRANCA AVE 2468"", ""USAddress[1]/CityNm[1]"": ""COVINA"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""91723"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG006,5500,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"5,500","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",5500,Compassion in World Farming,VG006,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,461822635,COMPASSION IN WORLD FARMING,4538,"{""CashGrantAmt[1]"": ""5,500"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""COMPASSION IN WORLD FARMING"", ""RecipientEIN[1]"": ""46-1822635"", ""USAddress[1]/AddressLine1Txt[1]"": ""211 EAST 43RD STREET"", ""USAddress[1]/CityNm[1]"": ""NEW YORK"", ""USAddress[1]/StateAbbreviationCd[1]"": ""NY"", ""USAddress[1]/ZIPCd[1]"": ""10017"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG007,7000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"7,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",7000,Effective Altruism Foundation,VG007,A-EA infrastructure,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,821136248,EFFECTIVE ALTRUISM FOUNDATION INC,5775,"{""CashGrantAmt[1]"": ""7,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""EFFECTIVE ALTRUISM FOUNDATION INC"", ""RecipientEIN[1]"": ""82-1136248"", ""USAddress[1]/AddressLine1Txt[1]"": ""2930 DOMINGO AVE UNIT 351"", ""USAddress[1]/CityNm[1]"": ""BERKELEY"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""94705"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG008,2203812,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"2,203,812","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",2203812,Effective Ventures Foundation USA,VG008,A-EA infrastructure,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,471988398,EFFECTIVE VENTURES FOUNDATION USA,5776,"{""CashGrantAmt[1]"": ""2,203,812"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""EFFECTIVE VENTURES FOUNDATION USA"", ""RecipientEIN[1]"": ""47-1988398"", ""USAddress[1]/AddressLine1Txt[1]"": ""2443 FILLMORE ST"", ""USAddress[1]/CityNm[1]"": ""SAN FRANCISCO"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""94115"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG009,2956462,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"2,956,462","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",2956462,Evidence Action,VG009,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,900874591,EVIDENCE ACTION INC,6123,"{""CashGrantAmt[1]"": ""2,956,462"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""EVIDENCE ACTION INC"", ""RecipientEIN[1]"": ""90-0874591"", ""USAddress[1]/AddressLine1Txt[1]"": ""1133 CONNECTICUT AVE NW STE 200"", ""USAddress[1]/CityNm[1]"": ""WASHINGTON"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20036"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG010,200000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"200,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",200000,FAR AI,VG010,A-AI safety,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,920692207,FAR AI INC,6286,"{""CashGrantAmt[1]"": ""200,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""FAR AI INC"", ""RecipientEIN[1]"": ""92-0692207"", ""USAddress[1]/AddressLine1Txt[1]"": ""600 W BROADWAY STE 660"", ""USAddress[1]/CityNm[1]"": ""SAN DIEGO"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""92101"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
