row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,context,currency,field_name,filing_year,money_type,org_id,period_end,sign,source_file,verdict
UK-2024-181,29786,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"29,786","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:FixedAssets,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-187,5455883,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"5,455,883","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:CurrentAssets,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-193,20908,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"20,908","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:PrepaymentsAccruedIncomeNotExpressedWithinCurrentAssetSubtotal,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-199,379994,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"379,994","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END.segment.core-FinancialInstrumentCurrentNon-currentDimension.core-CurrentFinancialInstruments.core-MaturitiesOrExpirationPeriodsDimension.core-WithinOneYear,GBP,core:Creditors,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-205,5096797,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"5,096,797","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:NetCurrentAssetsLiabilities,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-211,5126583,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"5,126,583","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:TotalAssetsLessCurrentLiabilities,2024,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2024.xhtml,KEEP
UK-2024-217,-5126583,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"5,126,583","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:AccruedLiabilitiesNotExpressedWithinCreditorsSubtotal,2024,UK_balance_sheet,CONTROL,2024-12-31,-,sources/controlai-accounts-2024.xhtml,KEEP
UK-2025-220,20219,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzU0MDI5NDI2MmFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"20,219","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:FixedAssets,2025,UK_balance_sheet,CONTROL,2025-12-31,,sources/controlai-accounts-2025.xhtml,KEEP
UK-2025-223,29786,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzU0MDI5NDI2MmFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"29,786","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY2.END,GBP,core:FixedAssets,2025,UK_balance_sheet,CONTROL,2024-12-31,,sources/controlai-accounts-2025.xhtml,KEEP
UK-2025-230,7587477,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzU0MDI5NDI2MmFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,"7,587,477","As filed in iXBRL; sign attribute preserved. Comparative amounts retain their own context date. Balance-sheet amount only, not annual revenue or donor funding. No currency conversion.",FY1.END,GBP,core:CurrentAssets,2025,UK_balance_sheet,CONTROL,2025-12-31,,sources/controlai-accounts-2025.xhtml,KEEP
