Year,Total Revenue,Total Expenses,Program Expenses,Fundraising Expenses,Admin Expenses,Total Contributions,Total Assets,Program Efficiency,Fundraising Efficiency,Admin Ratio,Filing Type,Data Source
2011,94222249.0,90342700.0,,224000.0,,61521764.0,103190645.0,,274.6507321428571,,990,ProPublica API
2012,96098760.0,93874399.0,,0.0,,60036051.0,82287642.0,,,,990,ProPublica API
2013,78671627.0,89915549.0,,0.0,,46635439.0,66619645.0,,,,990,ProPublica API
2014,89307915.0,80229549.0,,0.0,,55036879.0,75976031.0,,,,990,ProPublica API
2015,99225880.0,89536914.0,,0.0,,65828964.0,84376101.0,,,,990,ProPublica API
2016,109280056.0,117892303.0,,0.0,,69697401.0,76590363.0,,,,990,ProPublica API
2017,175832756.0,147368859.0,,0.0,,136340447.0,101946852.0,,,,990,ProPublica API
2018,218704476.0,231423028.0,,0.0,,174461785.0,81279500.0,,,,990,ProPublica API
2019,248844070.0,256722863.0,,0.0,,196680596.0,77794373.0,,,,990,ProPublica API
2020,255214771.0,251279138.0,,0.0,,203785891.0,81962158.0,,,,990,ProPublica API
2021,113428823.0,109244894.0,,0.0,,68676336.0,83810591.0,,,,990,ProPublica API
2022,98499995.0,84068757.0,,0.0,,54355890.0,85821906.0,,,,990,ProPublica API
