Year,Total Revenue,Total Expenses,Program Expenses,Fundraising Expenses,Admin Expenses,Total Contributions,Total Assets,Program Efficiency,Fundraising Efficiency,Admin Ratio,Filing Type,Data Source
2011,184711368.0,96778293.0,,4519912.0,,179504200.0,236572180.0,,39.71409177877799,,990,ProPublica API
2012,159461880.0,125414706.0,,3894257.0,,155090170.0,302321522.0,,39.825355645505674,,990,ProPublica API
2013,139369058.0,137835653.0,,7260458.0,,132739759.0,307429404.0,,18.2825599982811,,990,ProPublica API
2014,176617285.0,148198672.0,,4988509.0,,169312084.0,353684105.0,,33.940418670187825,,990,ProPublica API
2015,195663927.0,199291656.0,,5015930.0,,187906299.0,369436459.0,,37.46190616695209,,990,ProPublica API
2016,252887493.0,218184914.0,,7784303.0,,226817956.0,370743934.0,,29.137863210103717,,990,ProPublica API
2017,367237975.0,317843167.0,,12203883.0,,344001712.0,446345578.0,,28.187890034671753,,990,ProPublica API
2018,274186594.0,249285253.0,,9568145.0,,259024664.0,467407950.0,,27.07156549153467,,990,ProPublica API
2019,285840737.0,306554772.0,,15143526.0,,263506477.0,460432839.0,,17.40060254131039,,990,ProPublica API
2020,293759273.0,341239901.0,,14747509.0,,273795082.0,413503532.0,,18.56551380982375,,990,ProPublica API
2021,324786910.0,312461580.0,,13601843.0,,297628504.0,463340647.0,,21.88148356072041,,990,ProPublica API
2022,454574008.0,390022935.0,,4547985.0,,428045060.0,500855875.0,,94.1175179777418,,990,ProPublica API
