Year,Total Revenue,Total Expenses,Program Expenses,Fundraising Expenses,Admin Expenses,Total Contributions,Total Assets,Program Efficiency,Fundraising Efficiency,Admin Ratio,Filing Type,Data Source
2012,80607745.0,71535506.0,,722147.0,,58074573.0,341064393.0,,80.41932321258692,,990,ProPublica API
2013,68163629.0,74213958.0,,662459.0,,52043425.0,337785400.0,,78.56097509430772,,990,ProPublica API
2014,70273661.0,89345364.0,,280171.0,,55110331.0,323917302.0,,196.70248169867688,,990,ProPublica API
2015,94047925.0,85678343.0,,272174.0,,79581425.0,327600267.0,,292.3917236767656,,990,ProPublica API
2016,95262843.0,84257642.0,,264514.0,,89472041.0,341682167.0,,338.2506823835411,,990,ProPublica API
2017,152178320.0,120961465.0,,311031.0,,140053645.0,400374277.0,,450.2883796148937,,990,ProPublica API
2018,146251550.0,115464165.0,,294019.0,,134420043.0,452805832.0,,457.18148487002543,,990,ProPublica API
2019,205432828.0,140703350.0,,294850.0,,156940567.0,496522911.0,,532.2725691029337,,990,ProPublica API
2020,185480203.0,141347817.0,,311781.0,,176437112.0,501661278.0,,565.9007829213455,,990,ProPublica API
2021,241839843.0,173082558.0,,364210.0,,227368352.0,735145148.0,,624.2781691881057,,990,ProPublica API
2022,241948484.0,172665114.0,,411851.0,,213682199.0,824812518.0,,518.8337505554193,,990,ProPublica API
2023,201181635.0,186344190.0,,359652.0,,184197455.0,785630158.0,,512.1546800796325,,990,ProPublica API
