Year,Total Revenue,Total Expenses,Program Expenses,Fundraising Expenses,Admin Expenses,Total Contributions,Total Assets,Program Efficiency,Fundraising Efficiency,Admin Ratio,Filing Type,Data Source
2011,997037763.0,852695208.0,,5605856.0,,653451355.0,6013579638.0,,116.56584739244104,,990,ProPublica API
2012,949132306.0,756406814.0,,8663013.0,,685668095.0,6006480347.0,,79.14891677987785,,990,ProPublica API
2013,859133843.0,752216964.0,,7924739.0,,610766647.0,6168924112.0,,77.07088485816378,,990,ProPublica API
2014,949990421.0,748695565.0,,9386956.0,,708946532.0,6503755176.0,,75.52464632837312,,990,ProPublica API
2015,958808662.0,796011941.0,,11128982.0,,717080310.0,6712500146.0,,64.43359419576741,,990,ProPublica API
2016,914539673.0,810283620.0,,15133781.0,,729132653.0,6697479313.0,,48.179146572822745,,990,ProPublica API
2017,1006241963.0,829488331.0,,26031529.0,,773861379.0,6991747049.0,,29.727849601150975,,990,ProPublica API
2018,1184630698.0,907553872.0,,16793545.0,,941183195.0,7409864700.0,,56.044342930572434,,990,ProPublica API
2019,998088724.0,932617948.0,,19781805.0,,739848206.0,7710290418.0,,37.40043974753568,,990,ProPublica API
2020,1137390674.0,907041369.0,,7731238.0,,945790483.0,7975541090.0,,122.33363958010347,,990,ProPublica API
2021,1290130840.0,908626330.0,,8418546.0,,940583779.0,8800375381.0,,111.72758086728992,,990,ProPublica API
2022,1312108803.0,1004881237.0,,15273591.0,,927132092.0,9016820143.0,,60.70164455758963,,990,ProPublica API
